cluster,name,category,rating,review_count,latitude,longitude,address
4.0,Trecce,Italian,3.6,20,43.6845613035206,-79.3188472803566,"['1792 Danforth Avenue', 'Toronto, ON M4C 1H8', 'Canada']"
4.0,Pomarosa Coffee Shop & Kitchen,Venezuelan,4.6,56,43.683242,-79.32545,"['1504 Danforth Avenue', 'Toronto, ON M4J 1N4', 'Canada']"
4.0,Our Spot,Cafes,4.5,19,43.6841401,-79.3190019,"['1779b Danforth Ave', 'Toronto, ON M4C 1J2', 'Canada']"
4.0,La Vegan,Vegan,4.9,16,43.682914,-79.326419,"['1450 Danforth Avenue', 'Toronto, ON M4J 1N4', 'Canada']"
4.0,Yanagi Sushi,Japanese,4.1,83,43.68336,-79.32491,"['1524 Danforth Avenue', 'Toronto, ON M4J 1N4', 'Canada']"
4.0,Cumin Kitchen - Fine Indian Cuisine,Indian,4.5,80,43.68469,-79.3184,"['1820 Danforth Avenue', 'Toronto, ON M4C 1H8', 'Canada']"
4.0,Rendez-Vous,Ethiopian,4.1,127,43.68272,-79.32759,"['1408 Danforth Avenue', 'Toronto, ON M4J 1M9', 'Canada']"
4.0,Taverne Tamblyn,French,3.6,11,43.68278544751015,-79.32706929999999,"['1426 Danforth Avenue', 'Toronto, ON M4J 4R3', 'Canada']"
4.0,Morgan's On the Danforth,Gastropubs,3.8,115,43.68194,-79.3302284,"['1282 Danforth Avenue', 'Toronto, ON M4J 1M6', 'Canada']"
4.0,Cafe Cocoro,Korean,4.5,38,43.68503,-79.31485,"['1989 Danforth Avenue', 'Toronto, ON M4C 1J7', 'Canada']"
4.0,Unicorn Cafe,Themed Cafes,3.7,12,43.68563,-79.31432,"['2036 Danforth Avenue', 'Toronto, ON M4C 1J6', 'Canada']"
4.0,Sunset Grill Restaurant,Diners,3.0,43,43.683623674309736,-79.32312624901748,"['1602 Danforth Ave', 'Toronto, ON M4C 1H6', 'Canada']"
4.0,Bhojan Ghar,Indian,4.6,5,43.68493,-79.317214,"['1870 Danforth Avenue', 'Toronto, ON M4C 1J4', 'Canada']"
4.0,Rudy,Burgers,3.6,31,43.68230832055795,-79.3292483,"['1330 Danforth Avenue', 'Toronto, ON M4J 1M9', 'Canada']"
4.0,Borrel,Modern European,3.7,23,43.682065845688,-79.3290362994545,"['1333 Danforth Avenue', 'Toronto, ON M4J 1N1', 'Canada']"
4.0,The Samosarie,Indian,4.2,12,43.68514,-79.31662,"['1904 Danforth Avenue', 'Toronto, ON M4C 1J4', 'Canada']"
4.0,A&W,Burgers,5.0,1,43.68365929,-79.32314464,"['1606 Danforth Avenue', 'Toronto, ON M4C 1H6', 'Canada']"
4.0,El Sol Mexican Gallery Restaurant,Mexican,3.3,68,43.68294,-79.32647,"['1448 Danforth Ave', 'Toronto, ON M4J 1N4', 'Canada']"
4.0,Keep W!ngin It,Chicken Wings,5.0,1,43.68535,-79.31284,"['2075 Danforth Avenue', 'Toronto, ON M4C 1J8', 'Canada']"
4.0,Kabob Khana,Afghan,0.0,0,43.6823681518815,-79.32936169999999,"['1328 Danforth Avenue', 'Toronto, ON M4J 1M9', 'Canada']"
4.0,The Groove Bar & Grill,Pubs,3.9,21,43.6852919679494,-79.3155437707901,"['1952 Danforth Avenue', 'Toronto, ON M4C 1J4', 'Canada']"
4.0,Wazema Ethiopian Restaurant,Ethiopian,4.0,31,43.68253,-79.32856,"['1360 Danforth Ave', 'Toronto, ON M4J', 'Canada']"
4.0,Sandy's Restaurant,Chinese,3.8,37,43.68554,-79.31223,"['2093 Danforth Avenue', 'Toronto, ON M4C 1K1', 'Canada']"
4.0,Not Just Butter Chicken,Indian,4.4,18,43.6818369,-79.3296425,"['1307 Danforth Avenue', 'Toronto, ON M4J 1M8', 'Canada']"
4.0,Safari Cafe,Breakfast & Brunch,0.0,0,43.68243424904518,-79.32733204976557,"['1413 Danforth Avenue', 'Toronto, ON M4J 1N2', 'Canada']"
4.0,Good Vibes Kitchen,Caribbean,4.9,10,43.6818,-79.32975,"['1299 Danforth Ave', 'Toronto, ON M4J 1M8', 'Canada']"
4.0,Hirut,Ethiopian,4.4,21,43.68566,-79.31388,"['2050 Danforth Ave', 'Toronto, ON M4C 1J6', 'Canada']"
4.0,Yappi's,Specialty Food,0.0,0,43.67574,-79.32317,"['Toronto, ON M4L 2Z3', 'Canada']"
