name,latitude,longitude,free_bikes,empty_slots
Eastern Ave / Winnifred Ave,43.6592088,-79.3348396,6,8
Ursula Franklin St / St. George St - SMART,43.660296,-79.397107,0,14
Guildwood GO Station (South),43.754978,-79.1971289,1,9
Clarence Square,43.64407,-79.3929,20,2
Aurora Ct / Bridletowne Cir,43.79283961726625,-79.31685173498637,2,8
Eglinton Ave E / Brimley Rd,43.736952572933866,-79.24798367249146,4,15
Front St W / Bay St (South Side),43.64595,-79.378761,1,17
Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663,13,16
Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822,12,2
Jane St / Weston Rd,43.69144464414302,-79.50154583869246,0,15
439 Sherbourne St,43.666051,-79.374161,5,40
Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555,6,7
Church St / The Esplanade,43.6469251,-79.3733192,16,2
50 Overlea Blvd,43.707225,-79.345324,0,14
60 Broadway Ave,43.71024429599603,-79.39578744603273,3,20
Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223,3,12
Windsor St / Newcastle St,43.6171635,-79.4971065,0,28
O'Connor Dr / Curity Ave,43.707582,-79.311439,7,7
Humber College (Lakeshore Campus),43.5961692,-79.5160575,21,6
Eglinton Ave W / Oakwood Ave,43.69705023028765,-79.4437599043325,0,15
Bay St / Charles St W - SMART,43.668153,-79.38891,1,19
Primrose Ave / Davenport Rd,43.67142,-79.445947,5,10
Ted Rogers Way / Bloor St E,43.671293,-79.380471,3,19
Lake Shore Blvd W / Colborne Lodge Dr,43.63771,-79.458173,2,21
Weston Lions Park,43.698841,-79.519472,2,22
Oriole Pkwy / Kilbarry Rd,43.6954486,-79.4026176,0,17
Highfield Rd / Gerrard St E,43.671771,-79.324961,18,0
Grand Avenue Park,43.623708,-79.490054,3,19
The Esplanade / Hahn Pl,43.649709,-79.364184,13,2
Front St E / Scott St (2),43.6476241415141,-79.37552498892019,9,2
Church St  / Wood St,43.662712,-79.379903,16,9
Bayview Ave / Lawren Harris Square,43.6548521,-79.35397680000001,13,0
King St W / Bay St (West Side),43.64852,-79.380576,1,38
Bloor St E / Parliament St,43.671946102001826,-79.37245115337294,11,6
128 Sterling Rd - SMART,43.654004,-79.444792,4,15
Jane St / Lawrence Ave W,43.702340220597975,-79.50347389514123,0,14
519 Church St ,43.6668334195837,-79.38120391054117,3,8
Ossington Ave / Bruce St,43.64570236705167,-79.41933192053696,1,14
Islington Subway Station (Aberfoyle Cres),43.645658591546216,-79.52339938954925,6,9
Spadina Ave / Fort York Blvd,43.640114,-79.393249,11,10
Vanauley St / Queen St W - SMART,43.648437,-79.39838,10,1
Howard St / Rose Ave,43.671278,-79.372127,3,15
Brooklawn Ave / Kingston Rd,43.721761400691236,-79.2359137196434,3,8
Salem Ave / Bloor St W,43.6608333,-79.43166666666667,2,13
Gunns Rd / Lavender Creek Trail,43.675531973168354,-79.47199740066374,1,14
Lake Shore Blvd W / Bathurst St,43.63675592256874,-79.39920538954927,15,6
Front St W / Bay St (North Side),43.646162,-79.378912,0,11
Greenwood Ave / Gerrard St E,43.67036917803197,-79.32782698645094,8,5
Trethewey Dr / Jane St,43.697417070558615,-79.50079830912324,2,14
Don Mills Rd / Goodview Rd,43.785346474479695,-79.35362921031188,11,4
25 Booth Ave,43.6544839,-79.34105699999999,1,3
Danforth Ave / Danforth Rd,43.69362206784152,-79.27710529695892,4,11
Lake Shore Blvd W / The Boulevard Club,43.636731,-79.444966,6,6
Thorncliffe Park Dr / Leaside Park Trail,43.70400405297843,-79.34807015078738,2,12
Lawrence Ave W / Pine St,43.70177452503352,-79.50850451132469,0,15
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,25
Ruddington Dr / Finch Recreational Trail,43.789781888844246,-79.38988621716194,2,15
3220 Bloor St W,43.646186757495194,-79.51762536747455,20,12
Cosburn Ave / Durant Ave,43.6935477,-79.3301658,11,4
Eastview Park,43.759071409320356,-79.18945281711036,1,10
Stansbury Cr / Midland Ave,43.742513527508905,-79.26124310383767,2,9
Marlee Ave / York Beltline Trail,43.70163,-79.44099,1,18
King St W / Bay St (East Side),43.648575,-79.380042,1,16
Bloor St W / Balmuto St,43.66981064282057,-79.38801106873031,0,11
Claremont St / Dundas St W,43.651281,-79.411717,13,0
HTO Park (Queens Quay W),43.63796,-79.387502,14,10
Charles St W / Balmuto St - SMART,43.668427,-79.38725,3,20
King St W / Brant St,43.645102,-79.39744979999999,16,6
Lawton Blvd / Yonge St,43.6910667,-79.39535,5,8
Grenoble Dr / Vendome Pl,43.715537998967406,-79.32811427663442,3,6
Chiltern Hill Rd / Eglinton Ave W,43.7004017,-79.4275305,3,14
14 Arundel Ave,43.6784834,-79.3513564,2,10
Antler St / Campbell Ave - SMART,43.664182,-79.449066,2,18
Keele St / Ingram Dr,43.698706949666914,-79.4756586460327,8,4
St. Clair Ave W / Castleton Ave,43.668496,-79.485426,1,17
Euclid Ave / Queen St W - SMART,43.64656806400965,-79.4076868902591,4,4
Emdaabiimok Ave / Lake Shore Blvd E,43.662771,-79.315223,12,3
Highview Ave / Kennedy Rd,43.702418581463505,-79.2563167072858,5,10
Emerson Ave / Bloor St W,43.658739,-79.440691,1,21
St Clair Ave W / Oakwood Ave,43.678177,-79.435364,2,10
Bellamy Rd S / Kingston Rd,43.7323277855009,-79.22496619876934,1,17
Queens Quay W / Lower Simcoe St,43.63951,-79.383717,3,12
Fulton Ave / Pape Ave,43.68395,-79.347046,10,9
165 McRae Dr,43.70587454662511,-79.36800595602851,5,10
Union Station (North),43.645808552646564,-79.38054652324743,2,14
Church St / Shuter St,43.65505698168995,-79.37651024603271,12,1
Spadina Ave / Bulwer St- SMART ,43.649354475273796,-79.39675713332855,8,2
Crawford St / Lobb Ave,43.64654941401018,-79.41558900317995,11,12
Wellington St W / Blue Jays Way,43.64473387070102,-79.39168963262681,19,2
Dawes Rd / Taylor Creek Trl,43.696631,-79.297436,15,2
King St W / Stafford St,43.6422222,-79.41111111111111,2,11
Sunrise Ave / Victoria Park Ave,43.71940912890232,-79.30226117096939,1,10
Florence Gell Park,43.66196582326018,-79.49851065277862,13,0
Orchard Park,43.66908,-79.3149,18,1
Dubray Ave / Wilson Ave,43.728617628977695,-79.47800122943039,13,6
Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,2,12
